Timestamp;Open;High;Low;Close;Volume
2024-06-25 00:00:00;1.0732;1.0734;1.0732;1.0734;747
2024-06-25 00:15:00;1.0734;1.0736;1.0732;1.0733;487
2024-06-25 00:30:00;1.0733;1.0736;1.0733;1.0735;540
2024-06-25 00:45:00;1.0735;1.0735;1.0732;1.0734;813
2024-06-25 01:00:00;1.0734;1.0735;1.0733;1.0734;948
2024-06-25 01:15:00;1.0734;1.0736;1.0732;1.0733;703
2024-06-25 01:30:00;1.0733;1.0735;1.0732;1.0735;920
2024-06-25 01:45:00;1.0735;1.0736;1.0733;1.0735;791
2024-06-25 02:00:00;1.0735;1.0736;1.0734;1.0736;701
2024-06-25 02:15:00;1.0736;1.0736;1.0735;1.0736;489
2024-06-25 02:30:00;1.0736;1.0737;1.0735;1.0736;519
2024-06-25 02:45:00;1.0736;1.0737;1.0735;1.0737;604
2024-06-25 03:00:00;1.0737;1.0739;1.0737;1.0739;609
2024-06-25 03:15:00;1.0739;1.0739;1.0736;1.0737;655
2024-06-25 03:30:00;1.0737;1.0737;1.0736;1.0736;526
2024-06-25 03:45:00;1.0736;1.0739;1.0736;1.0738;591
2024-06-25 04:00:00;1.0739;1.0739;1.0737;1.0738;477
2024-06-25 04:15:00;1.0738;1.0738;1.0736;1.0738;531
2024-06-25 04:30:00;1.0738;1.0739;1.0736;1.0739;564
2024-06-25 04:45:00;1.0739;1.0740;1.0738;1.0739;541
2024-06-25 05:00:00;1.0739;1.0742;1.0739;1.0742;475
2024-06-25 05:15:00;1.0742;1.0744;1.0742;1.0743;706
2024-06-25 05:30:00;1.0743;1.0744;1.0741;1.0742;769
2024-06-25 05:45:00;1.0742;1.0743;1.0741;1.0741;714
2024-06-25 06:00:00;1.0742;1.0742;1.0736;1.0736;1087
2024-06-25 06:15:00;1.0736;1.0738;1.0734;1.0735;884
2024-06-25 06:30:00;1.0735;1.0736;1.0732;1.0736;902
2024-06-25 06:45:00;1.0736;1.0738;1.0731;1.0732;1320
2024-06-25 07:00:00;1.0732;1.0733;1.0727;1.0728;1823
2024-06-25 07:15:00;1.0728;1.0728;1.0721;1.0725;1724
2024-06-25 07:30:00;1.0725;1.0730;1.0724;1.0726;1605
2024-06-25 07:45:00;1.0726;1.0729;1.0724;1.0727;1358
2024-06-25 08:00:00;1.0727;1.0731;1.0725;1.0731;1551
2024-06-25 08:15:00;1.0731;1.0732;1.0728;1.0730;1270
2024-06-25 08:30:00;1.0730;1.0736;1.0729;1.0734;1501
2024-06-25 08:45:00;1.0734;1.0735;1.0732;1.0734;1191
2024-06-25 09:00:00;1.0734;1.0735;1.0730;1.0730;1126
2024-06-25 09:15:00;1.0730;1.0731;1.0726;1.0728;1191
2024-06-25 09:30:00;1.0728;1.0731;1.0727;1.0728;951
2024-06-25 09:45:00;1.0728;1.0729;1.0723;1.0725;1294
2024-06-25 10:00:00;1.0725;1.0730;1.0724;1.0727;1542
2024-06-25 10:15:00;1.0727;1.0729;1.0727;1.0727;1028
2024-06-25 10:30:00;1.0727;1.0728;1.0721;1.0724;1058
2024-06-25 10:45:00;1.0724;1.0726;1.0722;1.0723;1177
2024-06-25 11:00:00;1.0723;1.0724;1.0720;1.0721;1214
2024-06-25 11:15:00;1.0721;1.0721;1.0714;1.0715;1052
2024-06-25 11:30:00;1.0715;1.0715;1.0709;1.0711;1320
2024-06-25 11:45:00;1.0711;1.0714;1.0709;1.0709;1393
2024-06-25 12:00:00;1.0709;1.0715;1.0709;1.0715;1506
2024-06-25 12:15:00;1.0715;1.0715;1.0709;1.0710;1189
2024-06-25 12:30:00;1.0710;1.0712;1.0707;1.0708;2085
2024-06-25 12:45:00;1.0708;1.0710;1.0702;1.0705;1611
2024-06-25 13:00:00;1.0705;1.0713;1.0705;1.0711;1629
2024-06-25 13:15:00;1.0711;1.0711;1.0703;1.0704;1509
2024-06-25 13:30:00;1.0704;1.0708;1.0701;1.0705;2051
2024-06-25 13:45:00;1.0705;1.0706;1.0700;1.0702;1486
2024-06-25 14:00:00;1.0702;1.0703;1.0691;1.0695;2536
2024-06-25 14:15:00;1.0695;1.0697;1.0693;1.0694;1830
2024-06-25 14:30:00;1.0694;1.0700;1.0693;1.0699;1394
2024-06-25 14:45:00;1.0699;1.0701;1.0697;1.0701;1566
2024-06-25 15:00:00;1.0701;1.0707;1.0701;1.0706;1352
2024-06-25 15:15:00;1.0706;1.0708;1.0703;1.0706;1288
2024-06-25 15:30:00;1.0706;1.0709;1.0706;1.0707;1099
2024-06-25 15:45:00;1.0707;1.0708;1.0703;1.0704;1073
2024-06-25 16:00:00;1.0704;1.0708;1.0703;1.0707;971
2024-06-25 16:15:00;1.0707;1.0709;1.0705;1.0708;1044
2024-06-25 16:30:00;1.0708;1.0708;1.0705;1.0705;834
2024-06-25 16:45:00;1.0705;1.0705;1.0702;1.0705;1072
2024-06-25 17:00:00;1.0705;1.0709;1.0704;1.0709;1076
2024-06-25 17:15:00;1.0709;1.0712;1.0708;1.0712;854
2024-06-25 17:30:00;1.0711;1.0713;1.0709;1.0713;822
2024-06-25 17:45:00;1.0713;1.0715;1.0712;1.0714;907
2024-06-25 18:00:00;1.0714;1.0716;1.0712;1.0715;600
2024-06-25 18:15:00;1.0715;1.0717;1.0715;1.0717;731
2024-06-25 18:30:00;1.0717;1.0717;1.0716;1.0716;791
