Timestamp;Open;High;Low;Close;Volume
2024-06-25 00:00:00;1.0732;1.0733;1.0732;1.0733;65
2024-06-25 00:01:00;1.0733;1.0733;1.0732;1.0732;81
2024-06-25 00:02:00;1.0732;1.0732;1.0732;1.0732;41
2024-06-25 00:03:00;1.0732;1.0733;1.0732;1.0733;23
2024-06-25 00:04:00;1.0733;1.0733;1.0732;1.0733;38
2024-06-25 00:05:00;1.0733;1.0733;1.0733;1.0733;50
2024-06-25 00:06:00;1.0733;1.0733;1.0733;1.0733;43
2024-06-25 00:07:00;1.0733;1.0733;1.0732;1.0732;37
2024-06-25 00:08:00;1.0732;1.0733;1.0732;1.0733;57
2024-06-25 00:09:00;1.0732;1.0733;1.0732;1.0733;42
2024-06-25 00:10:00;1.0733;1.0733;1.0733;1.0733;37
2024-06-25 00:11:00;1.0733;1.0734;1.0733;1.0733;67
2024-06-25 00:12:00;1.0734;1.0734;1.0733;1.0734;56
2024-06-25 00:13:00;1.0734;1.0734;1.0733;1.0734;50
2024-06-25 00:14:00;1.0734;1.0734;1.0734;1.0734;60
2024-06-25 00:15:00;1.0734;1.0736;1.0734;1.0735;76
2024-06-25 00:16:00;1.0735;1.0735;1.0735;1.0735;21
2024-06-25 00:17:00;1.0735;1.0735;1.0734;1.0734;32
2024-06-25 00:18:00;1.0734;1.0735;1.0734;1.0734;28
2024-06-25 00:19:00;1.0735;1.0735;1.0734;1.0734;22
2024-06-25 00:20:00;1.0734;1.0735;1.0734;1.0734;9
2024-06-25 00:21:00;1.0734;1.0734;1.0734;1.0734;29
2024-06-25 00:22:00;1.0734;1.0734;1.0733;1.0733;23
2024-06-25 00:23:00;1.0733;1.0733;1.0732;1.0732;61
2024-06-25 00:24:00;1.0732;1.0732;1.0732;1.0732;28
2024-06-25 00:25:00;1.0732;1.0732;1.0732;1.0732;30
2024-06-25 00:26:00;1.0732;1.0733;1.0732;1.0732;18
2024-06-25 00:27:00;1.0733;1.0733;1.0732;1.0732;32
2024-06-25 00:28:00;1.0732;1.0733;1.0732;1.0733;27
2024-06-25 00:29:00;1.0733;1.0733;1.0733;1.0733;51
2024-06-25 00:30:00;1.0733;1.0734;1.0733;1.0734;30
